Type,Symbol,SecType,Currency,Exchange,LastTradeDateOrContractMonth,TradingClass,Right,Strike,Multiplier
Option,AAPL C282.5,OPT,USD,CME,20251219,,C,282.5,50
Option,ESH5 C5875,OPT,USD,CME,20250321,,C,5875,50
Option,ESH5 C5880,OPT,USD,CME,20250321,,C,5880,50
Option,ESH5 C5885,OPT,USD,CME,20250321,,C,5885,50
Option,ESH5 C5900,OPT,USD,CME,20250321,,C,5900,50
Option,ESH5 C5925,OPT,USD,CME,20250321,,C,5925,50
Option,ESH5 C5975,OPT,USD,CME,20250321,,C,5975,50
Option,ESH5 C6000,OPT,USD,CME,20250321,,C,6000,50
Option,ESH5 C6025,OPT,USD,CME,20250321,,C,6025,50
Option,ESH5 C6050,OPT,USD,CME,20250321,,C,6050,50
Option,ESH5 C6075,OPT,USD,CME,20250321,,C,6075,50
Option,ESH5 C6100,OPT,USD,CME,20250321,,C,6100,50
Option,ESH5 C6125,OPT,USD,CME,20250321,,C,6125,50
Option,ESH5 C6150,OPT,USD,CME,20250321,,C,6150,50
Option,ESH5 C6175,OPT,USD,CME,20250321,,C,6175,50
Option,ESH5 C6200,OPT,USD,CME,20250321,,C,6200,50
Option,ESH5 C6225,OPT,USD,CME,20250321,,C,6225,50
Option,ESH5 C6250,OPT,USD,CME,20250321,,C,6250,50
Option,ESH5 C6275,OPT,USD,CME,20250321,,C,6275,50
Option,ESH5 C6300,OPT,USD,CME,20250321,,C,6300,50
Option,ESH5 C6325,OPT,USD,CME,20250321,,C,6325,50
Option,ESH5 C6350,OPT,USD,CME,20250321,,C,6350,50
Option,ESH5 C6375,OPT,USD,CME,20250321,,C,6375,50
Option,ESH5 C6400,OPT,USD,CME,20250321,,C,6400,50
Option,ESH5 C6425,OPT,USD,CME,20250321,,C,6425,50
Option,ESH5 C6450,OPT,USD,CME,20250321,,C,6450,50
Option,ESH5 C6475,OPT,USD,CME,20250321,,C,6475,50
Option,ESH5 C6500,OPT,USD,CME,20250321,,C,6500,50
Option,ESH5 C6525,OPT,USD,CME,20250321,,C,6525,50
Option,ESH5 C6550,OPT,USD,CME,20250321,,C,6550,50
Option,ESH5 P5850,OPT,USD,CME,20250321,,P,5850,50
Option,ESH5 P5825,OPT,USD,CME,20250321,,P,5825,50
Option,ESH5 P5800,OPT,USD,CME,20250321,,P,5800,50
Option,ESH5 P5775,OPT,USD,CME,20250321,,P,5775,50
Option,ESH5 P5750,OPT,USD,CME,20250321,,P,5750,50
Option,ESH5 P5725,OPT,USD,CME,20250321,,P,5725,50
Option,ESH5 P5700,OPT,USD,CME,20250321,,P,5700,50
Option,ESH5 P5675,OPT,USD,CME,20250321,,P,5675,50
Option,ESH5 P5650,OPT,USD,CME,20250321,,P,5650,50
Option,ESH5 P5600,OPT,USD,CME,20250321,,P,5600,50
Option,ESH5 P5575,OPT,USD,CME,20250321,,P,5575,50
Option,ESH5 P5550,OPT,USD,CME,20250321,,P,5550,50
Option,ESH5 P5525,OPT,USD,CME,20250321,,P,5525,50
Option,ESH5 P5500,OPT,USD,CME,20250321,,P,5500,50
Option,ESH5 P5475,OPT,USD,CME,20250321,,P,5475,50
Option,ESH5 P5450,OPT,USD,CME,20250321,,P,5450,50
Option,ESH5 P5425,OPT,USD,CME,20250321,,P,5425,50
Option,ESH5 P5400,OPT,USD,CME,20250321,,P,5400,50
Option,ESH5 P5375,OPT,USD,CME,20250321,,P,5375,50
Option,ESH5 P5350,OPT,USD,CME,20250321,,P,5350,50
Option,ESH5 P5325,OPT,USD,CME,20250321,,P,5325,50
Option,ESH5 P5300,OPT,USD,CME,20250321,,P,5300,50
Option,ESH5 P5275,OPT,USD,CME,20250321,,P,5275,50
Option,ESH5 P5250,OPT,USD,CME,20250321,,P,5250,50
Option,ESH5 P5225,OPT,USD,CME,20250321,,P,5225,50
Option,ESH5 P5200,OPT,USD,CME,20250321,,P,5200,50
Option,ESH5 P5175,OPT,USD,CME,20250321,,P,5175,50
Option,ESH5 P5150,OPT,USD,CME,20250321,,P,5150,50
Option,ESH5 P5125,OPT,USD,CME,20250321,,P,5125,50
Option,ESH5 P5100,OPT,USD,CME,20250321,,P,5100,50
